variable,level,exp,rmse,corr,bias,stdratio
u,250,cpu,3.013150294776535,0.9886650590454635,0.07613337189104556,1.0617568803990993
u,250,mpsbroken,12.147695581808659,0.795983199810142,4.0063437923221334,0.6016620935282525
u,200,conv,2.8816891415615835,0.9920689352865548,-0.004994757088659763,1.0440658580351039
u,200,convsat,2.0819045801759524,0.9952477227327586,-0.14562174042915169,1.006577669162152
u,200,noRO,3.1389559094208743,0.9899950073885122,0.07194328808871893,1.0350813018339993
u,200,RO3ch,5.38790511603343,0.9671933765635627,-0.197349905133818,0.9595276625686141
u,200,RObangle,17.867163911257023,0.6495309568970388,-0.7625307732817458,0.28634528389776065
u,200,cpu,2.882650505620237,0.9920667363207846,-0.04866828181994941,1.0440902169746056
u,200,mpsbroken,14.03720494676091,0.8383527528866145,2.552862382582026,0.48147963290568496
u,150,conv,4.1464431460075675,0.9839843586529453,1.0651793247671204,0.9601635158801315
u,150,convsat,2.673597131558153,0.9944085738994427,-0.435925181683246,0.9409082970499726
u,150,noRO,5.10154295075766,0.9755017994974879,1.0734211721118012,0.9342709855408334
u,150,RO3ch,5.240305334413562,0.9738819707609319,0.05168059810000706,0.9126623538193177
u,150,RObangle,18.716827365906482,0.6346634779351394,-0.34807263872308086,0.30586082821902844
u,150,cpu,4.142443112387561,0.9838920023463918,1.0232741942720307,0.9616395388522135
u,150,mpsbroken,15.352936377651705,0.8483055009625744,2.9010944089253674,0.4271097084203247
u,100,conv,4.837210206422555,0.9821819920631023,3.2629753740397938,0.9325782570138865
u,100,convsat,2.353392394155784,0.9919140597715759,0.13756690141340228,1.0076042059258743
u,100,noRO,4.914260370670911,0.9861474175826505,3.5210543057151495,0.9006799235765347
u,100,RO3ch,5.695415547938914,0.972001057252151,3.7056157143354844,0.9863782654417339
u,100,RObangle,12.723450338643438,0.8349436151258263,3.4477131879071483,0.45873454255783425
u,100,cpu,4.799186917212311,0.9823023913276921,3.231815538096585,0.9352802715886276
u,100,mpsbroken,12.571042979490471,0.9021692317783078,6.255339651425521,0.49451858664889203
u,50,conv,5.831342679678907,0.9490633445112443,4.896896773779104,0.7307525649737993
u,50,convsat,2.1937466074927037,0.9693204979273669,0.23896402380424814,0.8729689219252578
u,50,noRO,5.742212869708202,0.9397208018058123,4.509366910651435,0.6783348524110798
u,50,RO3ch,6.146866123709458,0.9235090560577435,4.908391904217616,0.6920982053343454
u,50,RObangle,7.78762397108803,0.8968939113192272,5.75762410033511,0.4414304152931069
u,50,cpu,5.810298692207212,0.9485470473189526,4.874196338364581,0.7332794635982378
u,50,mpsbroken,5.448480285847988,0.8846325843419808,3.4714069572896,0.6820013019930025
v,1000,conv,1.2572267931376306,0.9285870073598862,0.11206912906883709,0.9705469394762839
v,1000,convsat,1.015089843457826,0.9536517981915692,0.02199843147853432,0.9209619140562249
v,1000,noRO,1.2875769905842493,0.9249401011428571,0.10253312363648462,0.9702557357268852
v,1000,RO3ch,2.4446690995118603,0.72506856045849,-0.7888930386742069,0.6804082617660187
v,1000,RObangle,3.848641988408763,-0.24970679288309736,-0.5342535237989396,0.3457504343724075
v,1000,cpu,1.2553600132000478,0.9288451155319263,0.10754786083574916,0.9725617386323254
v,1000,mpsbroken,3.8445922806813844,0.06134070657942962,-1.1201158091552428,0.5163011063941807
v,925,conv,1.6173774856596879,0.9386304409284923,-0.06685259859325007,0.9686015213830392
v,925,convsat,1.2981708980722557,0.9617973127721356,-0.10765906061351553,0.9184521370374666
v,925,noRO,1.68978283813734,0.9333353766928421,-0.019367617320957285,0.9798714574571697
v,925,RO3ch,3.5832481035580823,0.6989673432973647,-1.30273993275709,0.69412155181327
v,925,RObangle,5.102301566495298,-0.04647843682398148,-1.1286064778730458,0.32593129509680774
v,925,cpu,1.6126116427175978,0.9390391854288928,-0.07655877113827508,0.9689599998139046
v,925,mpsbroken,5.199000894976081,0.09528234331148483,-1.7427523172226722,0.42752692238505485
v,850,conv,1.952353192352682,0.9327856644309329,0.07913330946355586,1.0202139657042357
v,850,convsat,1.4546121381810364,0.9612362193163617,-0.02799580720181093,0.9819746651194642
v,850,noRO,2.0973419373641775,0.9226228533837996,0.23009123354201147,1.0138604151421575
v,850,RO3ch,4.042130157885374,0.7142811643399561,-1.6698887193847254,0.7140352797088989
v,850,RObangle,5.363362996668082,0.21362292416880457,-1.4292141049207396,0.32128825696331587
v,850,cpu,1.9500519795522084,0.9328532291272847,0.07009980573932262,1.0194204234268955
